iter	Passed	Remaining
872	5611	816
873	5617	809
874	5624	803
875	5629	796
876	5636	790
877	5640	783
878	5645	777
879	5654	771
880	5659	764
881	5664	757
882	5671	751
883	5676	744
884	5683	738
885	5688	731
886	5694	725
887	5702	719
888	5708	712
889	5713	706
890	5719	699
891	5724	693
892	5730	686
893	5736	680
894	5741	673
895	5748	667
896	5754	660
897	5758	654
898	5765	647
899	5771	641
900	5776	634
901	5782	628
902	5787	621
903	5792	615
904	5799	608
905	5805	602
906	5811	595
907	5816	589
908	5821	582
909	5828	576
910	5833	569
911	5838	563
912	5846	557
913	5851	550
914	5856	544
915	5864	537
916	5869	531
917	5876	524
918	5881	518
919	5886	511
920	5893	505
921	5898	499
922	5904	492
923	5911	486
924	5916	479
925	5921	473
926	5940	467
927	5948	461
928	5954	455
929	5961	448
930	5966	442
931	5973	435
932	5978	429
933	5983	422
934	5991	416
935	5996	410
936	6001	403
937	6009	397
938	6014	390
939	6022	384
940	6027	377
941	6032	371
942	6039	365
943	6045	358
944	6050	352
945	6056	345
946	6061	339
947	6067	332
948	6075	326
949	6080	320
950	6087	313
951	6093	307
952	6100	300
953	6107	294
954	6112	288
955	6121	281
956	6126	275
957	6131	268
958	6137	262
959	6142	255
960	6148	249
961	6153	243
962	6158	236
963	6167	230
964	6172	223
965	6177	217
966	6184	211
967	6189	204
968	6194	198
969	6201	191
970	6207	185
971	6214	179
972	6218	172
973	6223	166
974	6230	159
975	6236	153
976	6240	146
977	6249	140
978	6254	134
979	6260	127
980	6266	121
981	6271	114
982	6276	108
983	6282	102
984	6287	95
985	6293	89
986	6298	82
987	6303	76
988	6311	70
989	6316	63
990	6322	57
991	6329	51
992	6335	44
993	6339	38
994	6357	31
995	6365	25
996	6373	19
997	6379	12
998	6384	6
999	6392	0
